match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,match_no,total_runs_off_bat,total_extras,total_wides,total_noballs,total_wickets
45,"April 27,2025","Wankhede Stadium, Mumbai",MI,LSG,League,LSG,Bowl,215.0,7.0,161.0,10.0,completed,MI,54,,0.0,Will Jacks,Ryan Rickelton,58.0,Jasprit Bumrah,4--22,45,363.0,12.0,9.0,1.0,17.0
46,"April 27,2025","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,162.0,8.0,165.0,4.0,completed,RCB,,6,9.0,Krunal Pandya,Krunal Pandya,73.0,Bhuvneshwar Kumar,3--33,46,319.0,8.0,4.0,3.0,12.0
47,"April 28,2025","Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Bowl,209.0,4.0,212.0,2.0,completed,RR,,8,25.0,Vaibhav Suryavanshi,Vaibhav Suryavanshi,101.0,Maheesh Theekshana,2--35,47,407.0,11.0,9.0,0.0,6.0
48,"April 29,2025","Arun Jaitley Stadium, Delhi",DC,KKR,League,DC,Bowl,204.0,9.0,190.0,9.0,completed,KKR,14,,0.0,Sunil Narine,Faf du Plessis,62.0,Sunil Narine,3--29,48,369.0,24.0,14.0,2.0,18.0
49,"April 30,2025","MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Bowl,190.0,10.0,194.0,6.0,completed,PBKS,,4,2.0,Shreyas Iyer,Sam Curran,88.0,Yuzvendra Chahal,4--32,49,362.0,22.0,14.0,1.0,16.0
50,"May 1,2025","Sawai Mansingh Stadium, Jaipur",RR,MI,League,RR,Bowl,217.0,2.0,117.0,10.0,completed,MI,100,,23.0,Ryan Rickelton,Ryan Rickelton,61.0,Karn Sharma,3--23,50,312.0,22.0,9.0,0.0,12.0
51,"May 2,2025","Narendra Modi Stadium, Ahmedabad",GT,SRH,League,SRH,Bowl,224.0,6.0,186.0,6.0,completed,GT,38,,0.0,Prasidh Krishna,Shubman Gill,76.0,Jaydev Unadkat,3--35,51,394.0,16.0,10.0,0.0,12.0
52,"May 3,2025","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,CSK,Bowl,213.0,5.0,211.0,5.0,completed,RCB,2,,0.0,Romario Shepherd,Ayush Mhatre,94.0,Lungi Ngidi,3--30,52,417.0,7.0,4.0,2.0,10.0
53,"May 4,2025","Eden Gardens, Kolkata",KKR,RR,League,KKR,Bat,206.0,4.0,205.0,8.0,completed,KKR,1,,0.0,Andre Russell,Riyan Parag,95.0,Varun Chakravarthy,2--32,53,395.0,14.0,9.0,1.0,12.0
54,"May 4,2025","HPCA Stadium, Dharamshala",PBKS,LSG,League,LSG,Bowl,236.0,5.0,199.0,7.0,completed,PBKS,37,,0.0,Prabhsimran Singh,Prabhsimran Singh,91.0,Arshdeep Singh,3--16,54,418.0,17.0,13.0,0.0,12.0
